Region,Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Andhra Pradesh,2016-01-31, M,17.11,15403662,67.4
Andhra Pradesh,2016-02-29, M,10.08,13879174,55.92
Andhra Pradesh,2016-03-31, M,8.74,14314579,56.76
Andhra Pradesh,2016-04-30, M,3.97,14045983,52.87
Andhra Pradesh,2016-05-31, M,5.94,15873974,60.94
Andhra Pradesh,2016-06-30, M,3.54,13006747,48.64
Andhra Pradesh,2016-07-31, M,4.98,14165099,53.71
Andhra Pradesh,2016-08-31, M,3.01,13558769,50.31
Andhra Pradesh,2016-09-30, M,8.47,14568750,57.22
Andhra Pradesh,2016-10-31, M,11.11,13709005,55.38
Andhra Pradesh,2016-11-30, M,4.87,13757647,51.88
Andhra Pradesh,2016-12-31, M,4.07,13162991,49.17
Andhra Pradesh,2017-01-31, M,5.86,14405379,54.77
Andhra Pradesh,2017-02-28, M,4.83,12994162,48.82
Andhra Pradesh,2017-03-31, M,2.78,13379892,49.15
Andhra Pradesh,2017-04-30, M,2.75,13143105,48.22
Andhra Pradesh,2017-05-31, M,1.7,13107658,47.52
Andhra Pradesh,2017-06-30, M,3.76,12607286,46.64
Andhra Pradesh,2017-07-31, M,2.51,12972951,47.32
Andhra Pradesh,2017-08-31, M,2.49,12749708,46.45
Andhra Pradesh,2017-09-30, M,5.91,13683892,51.61
Andhra Pradesh,2017-10-31, M,2.96,12131064,44.31
Andhra Pradesh,2017-11-30, M,3.19,13011182,47.59
Andhra Pradesh,2017-12-31, M,3.45,13545548,49.62
Andhra Pradesh,2018-01-31, M,4.79,13061886,48.46
Andhra Pradesh,2018-02-28, M,4.38,12414387,45.82
Andhra Pradesh,2018-03-31, M,4.17,12583382,46.29
Andhra Pradesh,2018-04-30, M,2.8,12141674,43.99
Andhra Pradesh,2018-05-31, M,3.64,12309016,44.93
Andhra Pradesh,2018-06-30, M,4.78,11577611,42.72
Andhra Pradesh,2018-07-31, M,5.26,12636224,46.82
Andhra Pradesh,2018-08-31, M,4.03,12338427,45.07
Andhra Pradesh,2018-09-30, M,4.06,12442778,45.42
Andhra Pradesh,2018-10-31, M,5.74,10894155,40.43
Andhra Pradesh,2018-11-30, M,4.67,12084598,44.3
Andhra Pradesh,2018-12-31, M,3.9,12222642,44.39
