Region,Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Andhra Pradesh,2016-01-31, M,20.17,5222629,52.25
Andhra Pradesh,2016-02-29, M,9.73,5455744,48.18
Andhra Pradesh,2016-03-31, M,15.63,5332391,50.27
Andhra Pradesh,2016-04-30, M,9.68,4883600,42.92
Andhra Pradesh,2016-05-31, M,7.34,5289416,45.22
Andhra Pradesh,2016-06-30, M,6.75,5424851,45.99
Andhra Pradesh,2016-07-31, M,4.58,5321627,43.99
Andhra Pradesh,2016-08-31, M,6.58,5267750,44.38
Andhra Pradesh,2016-09-30, M,5.1,5294733,43.82
Andhra Pradesh,2016-10-31, M,7.32,5442483,46.03
Andhra Pradesh,2016-11-30, M,6.15,5288710,44.08
Andhra Pradesh,2016-12-31, M,6.1,5072994,42.17
Andhra Pradesh,2017-01-31, M,5.81,5074657,41.97
Andhra Pradesh,2017-02-28, M,4.54,5237230,42.65
Andhra Pradesh,2017-03-31, M,3.8,5038325,40.63
Andhra Pradesh,2017-04-30, M,5.49,5030573,41.21
Andhra Pradesh,2017-05-31, M,3.85,4884441,39.24
Andhra Pradesh,2017-06-30, M,3.36,5116921,40.82
Andhra Pradesh,2017-07-31, M,3.04,4980708,39.51
Andhra Pradesh,2017-08-31, M,5.73,5025117,40.92
Andhra Pradesh,2017-09-30, M,8.44,4911744,41.09
Andhra Pradesh,2017-10-31, M,4.81,5102145,40.97
Andhra Pradesh,2017-11-30, M,3.65,5171081,40.94
Andhra Pradesh,2017-12-31, M,5.47,5048139,40.65
Andhra Pradesh,2018-01-31, M,8.36,4885199,40.49
Andhra Pradesh,2018-02-28, M,2.98,5154258,40.27
Andhra Pradesh,2018-03-31, M,4.36,4664347,36.89
Andhra Pradesh,2018-04-30, M,5.66,4942795,39.55
Andhra Pradesh,2018-05-31, M,4.94,4769645,37.79
Andhra Pradesh,2018-06-30, M,3.86,4946759,38.68
Andhra Pradesh,2018-07-31, M,5.21,4802044,38
Andhra Pradesh,2018-08-31, M,5.09,4908850,38.72
Andhra Pradesh,2018-09-30, M,6.96,4757407,38.19
Andhra Pradesh,2018-10-31, M,5.15,4723182,37.12
Andhra Pradesh,2018-11-30, M,6.65,4772311,38.02
Andhra Pradesh,2018-12-31, M,4.96,4872260,38.05
Andhra Pradesh,2019-01-31, M,6.63,4776973,37.89
Andhra Pradesh,2019-02-28, M,5.78,4863514,38.16
Andhra Pradesh,2019-03-31, M,5.69,4719019,36.91
Andhra Pradesh,2019-04-30, M,5.23,4717161,36.64
Andhra Pradesh,2019-05-31, M,6.09,4788660,37.45
Andhra Pradesh,2019-06-30, M,3.8,4824628,36.76
Andhra Pradesh,2019-07-31, M,5.64,4657440,36.1
Andhra Pradesh,2019-08-31, M,4.61,4743180,36.29
Andhra Pradesh,2019-09-30, M,6.01,4733997,36.69
Andhra Pradesh,2019-10-31, M,4.7,4774376,36.41
Andhra Pradesh,2019-11-30, M,7.54,4668774,36.62
Andhra Pradesh,2019-12-31, M,7.88,4913964,38.61
Andhra Pradesh,2020-01-31, M,7.11,4618860,35.91
Andhra Pradesh,2020-02-29, M,5.66,4822035,36.84
Andhra Pradesh,2020-03-31, M,9.88,4521537,36.08
Andhra Pradesh,2020-04-30, M,32.3,2544084,26.97
Andhra Pradesh,2020-05-31, M,24.64,3461943,32.9
Andhra Pradesh,2020-06-30, M,5.85,4949821,37.57
Andhra Pradesh,2020-07-31, M,9.81,4158752,32.88
Andhra Pradesh,2020-08-31, M,9.54,4489404,35.31
Andhra Pradesh,2020-09-30, M,8.68,4402925,34.24
Andhra Pradesh,2020-10-31, M,6.82,4650193,35.36
Andhra Pradesh,2020-11-30, M,9.14,4344411,33.81
Andhra Pradesh,2020-12-31, M,7.2,4616157,35.1
Andhra Pradesh,2021-01-31, M,8.07,4739467,36.3
Andhra Pradesh,2021-02-28, M,5.13,5000444,37.04
Andhra Pradesh,2021-03-31, M,7.04,4622009,34.86
Andhra Pradesh,2021-04-30, M,8.06,4589629,34.93
Andhra Pradesh,2021-05-31, M,11.06,4454981,34.97
Andhra Pradesh,2021-06-30, M,7.34,4748562,35.7
Andhra Pradesh,2021-07-31, M,8.09,4612221,34.89
Andhra Pradesh,2021-08-31, M,8.23,4635550,35.04
